sh;site;zone1;zone2;site_name1;site_name2;latitude;longitude;sst_lat;sst_lon;tidestation;albedo;height;slope;aspect;slope.avg;aspect.avg;layer;c.albedo;beddepth;cntct;emiss
Ev;Evaristo;high_sun;_TopSun;Evaristo_high_sun;Evaristo_TopSun;37,0742;-8,3037;37;-8,3037;Ponta da Balieira, Portugal;0,4;2,5;19;188;19;188;;;;;
Ev;Evaristo;high_shade;_TopShade;Evaristo_high_shade;Evaristo_TopShade;37,0742;-8,3037;37;-8,3037;Ponta da Balieira, Portugal;0,4;2,5;13;348;13;348;;;;;
Ev;Evaristo;mid_sun;_MidSun;Evaristo_mid_sun;Evaristo_MidSun;37,0742;-8,3037;37;-8,3037;Ponta da Balieira, Portugal;0,4;1,5;55;160;55;160;;;;;
Ev;Evaristo;mid_shade;_MidShade;Evaristo_mid_shade;Evaristo_MidShade;37,0742;-8,3037;37;-8,3037;Ponta da Balieira, Portugal;0,4;1,5;27;348;27;348;;;;;
Ev;Evaristo;low_sun;_LowSun;Evaristo_low_sun;Evaristo_LowSun;37,0742;-8,3037;37;-8,3037;Ponta da Balieira, Portugal;0,4;0,5;25;170;25;170;;;;;
Ev;Evaristo;low_shade;_LowShade;Evaristo_low_shade;Evaristo_LowShade;37,0742;-8,3037;37;-8,3037;Ponta da Balieira, Portugal;0,4;0,5;15;345;15;345;;;;;
Al;Alteirnhos;high_sun;_TopSun;Alteirnhos_high_sun;Alteirnhos_TopSun;37,5243;-8,7881;37,5243;-8,85;Arrifana, Portugal;0,4;2,5;57;192;57;192;;;;;
Al;Alteirnhos;high_shade;_TopShade;Alteirnhos_high_shade;Alteirnhos_TopShade;37,5243;-8,7881;37,5243;-8,85;Arrifana, Portugal;0,4;2,5;41;357;41;357;;;;;
Al;Alteirnhos;mid_sun;_MidSun;Alteirnhos_mid_sun;Alteirnhos_MidSun;37,5243;-8,7881;37,5243;-8,85;Arrifana, Portugal;0,4;1,5;57;238;57;238;;;;;
Al;Alteirnhos;mid_shade;_MidShade;Alteirnhos_mid_shade;Alteirnhos_MidShade;37,5243;-8,7881;37,5243;-8,85;Arrifana, Portugal;0,4;1,5;49;198;49;198;;;;;
Al;Alteirnhos;low_sun;_LowSun;Alteirnhos_low_sun;Alteirnhos_LowSun;37,5243;-8,7881;37,5243;-8,85;Arrifana, Portugal;0,4;0,5;45;180;45;180;;;;;
Al;Alteirnhos;low_shade;_LowShade;Alteirnhos_low_shade;Alteirnhos_LowShade;37,5243;-8,7881;37,5243;-8,85;Arrifana, Portugal;0,4;0,5;45;0;45;0;;;;;
Sl;Slourenco;high_sun;_TopSun;Slourenco_high_sun;Slourenco_TopSun;39,0135;-9,4224;39,0135;-9,5;Peniche, Portugal;0,4;2,5;34;187;34;187;;;;;
Sl;Slourenco;high_shade;_TopShade;Slourenco_high_shade;Slourenco_TopShade;39,0135;-9,4224;39,0135;-9,5;Peniche, Portugal;0,4;2,5;20;347;20;347;;;;;
Sl;Slourenco;mid_sun;_MidSun;Slourenco_mid_sun;Slourenco_MidSun;39,0135;-9,4224;39,0135;-9,5;Peniche, Portugal;0,4;1,5;50;178;50;178;;;;;
Sl;Slourenco;mid_shade;_MidShade;Slourenco_mid_shade;Slourenco_MidShade;39,0135;-9,4224;39,0135;-9,5;Peniche, Portugal;0,4;1,5;23;315;23;315;;;;;
Sl;Slourenco;low_sun;_LowSun;Slourenco_low_sun;Slourenco_LowSun;39,0135;-9,4224;39,0135;-9,5;Peniche, Portugal;0,4;0,5;12;187;12;187;;;;;
Sl;Slourenco;low_shade;_LowShade;Slourenco_low_shade;Slourenco_LowShade;39,0135;-9,4224;39,0135;-9,5;Peniche, Portugal;0,4;0,5;0;337;0;337;;;;;
Mi;Mindelo;high_sun;_TopSun;Mindelo_high_sun;Mindelo_TopSun;41,3104;-8,7424;41,3104;-8,85;Pova de Varzim, Portugal;0,4;2,5;57;175;57;175;;;;;
Mi;Mindelo;high_shade;_TopShade;Mindelo_high_shade;Mindelo_TopShade;41,3104;-8,7424;41,3104;-8,85;Pova de Varzim, Portugal;0,4;2,5;-15;48;-15;48;;;;;
Mi;Mindelo;mid_sun;_MidSun;Mindelo_mid_sun;Mindelo_MidSun;41,3104;-8,7424;41,3104;-8,85;Pova de Varzim, Portugal;0,4;1,5;58;143;58;143;;;;;
Mi;Mindelo;mid_shade;_MidShade;Mindelo_mid_shade;Mindelo_MidShade;41,3104;-8,7424;41,3104;-8,85;Pova de Varzim, Portugal;0,4;1,5;-7;358;-7;358;;;;;
Mi;Mindelo;low_sun;_LowSun;Mindelo_low_sun;Mindelo_LowSun;41,3104;-8,7424;41,3104;-8,85;Pova de Varzim, Portugal;0,4;0,5;38;211;38;211;;;;;
Mi;Mindelo;low_shade;_LowShade;Mindelo_low_shade;Mindelo_LowShade;41,3104;-8,7424;41,3104;-8,85;Pova de Varzim, Portugal;0,4;0,5;-13;290;-13;290;;;;;
Mo;Moledo;high_sun;_TopSun;Moledo_high_sun;Moledo_TopSun;41,8399;-8,8743;41,8399;-8,95;Viana do Castelo, Portugal;0,4;2,5;40;184;40;184;;;;;
